English,Norwegian
able,i stand til
absence,fravær
accord,overensstemmelse
acquire,tilegne
acquisition,oppkjøp
across,på tvers av
act,handle
activity,aktivitet
ad,annonse
add,legg til
addition,tillegg
address,adresse
administration,administrasjon
advance,forhånd
affected,påvirket
age,alder
agency,byrå
ago,siden
ahead,foran
aid,hjelpemiddel
aircraft,fly
allow,tillate
almost,nesten
along,langs
already,allerede
also,også
amount,beløp
angle,vinkel
annual,årlige
another,en annen
answer,svar
anti,anti
any,noen
application,søknad
approval,godkjenning
are,er
area,område
arm,arm
around,rundt
art,kunst
as,som
aside,til side
association,forening
at,ved
attention,oppmerksomhet
authority,myndighet
available,tilgjengelig
average,gjennomsnittlig
baby,babyen
back,tilbake
bad,dårlig
bag,veske
balance,balanse
ball,ball
bank,bank
bar,Bar
bargain,kupp
barrel,fat
base,base
basis,basis
battle,kamp
be,være
bear,bjørn
beat,slo
become,bli
bed,seng
before,før
begin,begynne
behind,bak
being
believe,tror
bell,bjelle
below,under
bend,bøye
best,beste
beyond,utover
bid,bud
big,store
bill,regning
bird,fugl
bit,bit
bite,bite
black,svart
block,blokk
blow,blåse
blue,blå
board,brett
boat,båt
body,kropp
bold,fet
bomb,bombe
bond,obligasjon
bone,bein
book,bok
boost,øke
born,født
both,begge
bottom,bunn
bound,bundet
bow,bøye
box,eske
bread,brød
breath,pust
bridge,bro
bright,lyse
bring,bringe
broken,brutt
budget,budsjett
buffer,buffer
building,bygning
burn,brenne
burst,briste
business,virksomhet
but,men
buy,kjøpe
by,av
call,kaller
can,kan
cap,lue
capacity,kapasitet
capital,kapitalen
car,bil
card,kort
care,omsorg
carry,bære
case,tilfelle
cash,kontanter
cast,støpt
cat,katt
catch,fange
cause,forårsake
cell,celle
cent
central,sentral
certain,visse
chairman,formann
chance,sjanse
change,endring
character,karakter
charge,lade
chart,diagram
check,sjekk
chemical,kjemisk
chief,sjef
child,barn
choice,valg
church,kirke
city,by
class,klasse
clear,klare
clock,klokke
close,lukke
coat,frakk
coffee,kaffe
cold,kaldt
color,farge
come,komme
command,kommando
commerce,handel
commercial,kommersiell
commission,kommisjon
committee,komité
common,felles
company,Selskap
complete,komplett
computer,datamaskin
concern,bekymring
conference,Konferanse
congress,kongress
consider,vurdere
construction,konstruksjon
continue,fortsette
control,kontroll
cool,kult
copper,kobber
corn,mais
corporate,bedriftens
corporation,selskap
cost,kostnaden
council,kommunestyret
countenance,åsyn
counter,counter
country,land
coup,statskupp
coupon,kupong
course,kurs
court,domstol
cover,cover
crack,sprekk
credit,kreditt
crisis,krise
crop
cross,kryss
crown,krone
crude,råolje
cry,gråte
currency,valuta
current,nåværende
custom,tilpassede
cut,kutt
daily,daglig
danger,fare
dark,mørk
dash,bindestrek
data,data
date,dato
day,dag
deal,avtale
death,død
debt,gjeld
decided,bestemte
decision,avgjørelse
decline,nedgang
deep,dyp
default,standard
defense,forsvar
deficit,underskudd
degree,grad
delivery,levering
demand,etterspørsel
department,avdeling
deposit,innskudd
desire,ønske
die,dø
difficult,vanskelig
direct,direkte
director,direktør
discharge,utladning
discount,rabatt
disk,disk
dog,hund
dollar,dollar
domestic,innenlandske
don
done,gjort
door,dør
double,dobbel
doubt,tvil
down,ned
drag,dra
draw,trekning
dream,drøm
dress,kjole
drink,drikke
drive,kjøre
drop,slipp
drug,medikament
dry,tørk
due,grunn
dull,kjedelig
dust,støv
duty,plikt
early,tidlig
ease,letthet
east,øst
eat,spiser
economic,økonomisk
economy,økonomi
edge,kant
effect,effekt
eight,åtte
end,end
ending,slutt
enough,nok
enter,inn
equipment,utstyr
error,feil
escape,flykte
estate,eiendom
estimate,anslå
even,selv
ever,noensinne
every,hvert
evidence,bevis
evil,ondt
exchange,utveksling
executive,direktør
existence,eksistens
expand,utvide
expansion,ekspansjon
expect,forvente
expectation,forventning
export,eksport
express,uttrykke
eye,eye
face,ansikt
facility,anlegget
fair,rettferdig
faith,tro
fall,høst
FALSE
family,familie
fancy,fancy
far,langt
farm,farm
fashion,mote
fat,fett
favor,favør
fear,frykt
feather,fjær
feel,føle
feeling,følelse
fell,falt
fellow,stipendiat
fence,gjerde
few,få
field,felt
fight,kamp
figure,Figur
filing,innlevere
fill,fyll
final,endelig
finance,finans
financial,finansiell
find,finne
fine,bot
finger,finger
fire,brann
firm,Firma
first,første
fiscal,regnskapsåret
fish,fisk
fit,passer
five,fem
fix,fix
fixed,fast
flash,blitz
flat,flate
flight,fly
flow,flyt
fly,fly
follow,følge
following,Følgende
food,mat
foot,foten
force,kraft
forecast,prognose
foreign,utenlandske
form,skjema
format,format
former,tidligere
forth,tilbake
fortune,formue
forward,forover
four,fire
fourth,fjerde
free,free
fresh,fersk
front,front
full,fullt
fund,fond
further,videre
gain,vinning
game,spill
garden,hage
gas,gass
general,generell
get,få
give,gi
given,gitt
glass,glass
gold,gull
golden,gyllen
gone,borte
good,god
government,regjeringen
grace,nåde
grain,korn
grave,grav
great,stor
gross,brutto
ground,bakken
group,gruppe
growth,vekst
gulf,gulf
gun,pistol
hair,hår
half,halv
hand,hånd
hang,henge
happy,fornøyd
hard,hardt
hat,hatt
he,han
head,hode
health,helse
heart,hjerte
heat,hete
heaven,himmelen
held,holdt
hell,helvete
help,Hjelp
here,her
hide,gjemme seg
high,høy
hit,hit
hold,holde
holding,holder
hole,hull
home,hjem
honor,ære
hope,håp
horse,hest
hot,varm
hour,time
house,Hus
ice,is
idea,idé
ill,syk
imagination,fantasi
impact,innvirkning
import,import
important,viktig
improve,bedre
in,i
include,inkludere
income,inntekt
increase,Økningen
index,indeks
industrial,industriell
inflation,inflasjon
influence,innflytelse
information,informasjon
initial,innledende
inquiry,forespørsel
instead,stedet
institute,instituttet
insurance,forsikring
interest,interesse
iron,jern
issue,utstede
jack
job,jobb
join,delta
joint,felles
judgment,dom
jump,jump
justice,rettferdighet
keep,holde
key,nøkkel
kick,sparke
knock,banke
know,vet
knowledge,kunnskap
labor,arbeid
labour,arbeid
land,land
last,siste
late,sen
law,loven
lay,fastsette
lead,føre
least,minst
leave,forlate
led,ledet
leg,ben
length,lengde
less,mindre
let,la
letter,brev
level,nivå
lie,løgn
life,liv
lift,løfte
light,lys
like,som
likely,sannsynlig
limit,grense
limited,begrenset
line,linje
list,Liste
little,lite
live,lever
living,levende
load,belastning
loan,Lån
local,lokal
lock,lås
long,lang
loose,løs
lord
lose,tape
loss,tap
lost,tapt
lot,mye
love,kjærlighet
low,lav
lower,lavere
luck,flaks
machine,maskin
made,laget
mail,post
main,hoved
maintain,vedlikeholde
major,store
majority,Flertall
make,gjøre
man,mann
management,ledelse
manager,leder
many,mange
march,mars
mark,merke
market,marked
match,samsvare med
matter,sak
may,kan
mean,mene
meaning,mening
measure,måle
medium,medium
meet,å møte
meeting,Møte
member,medlem
memory,minne
men,menn
message,melding
mid,midt
might,kan
military,militær
milk,melk
mind,sinnet
mine,gruve
minimum,minimum
minister,minister
ministry,Departement
miss,savner
mode,modus
moment,øyeblikk
monetary,monetære
money,penger
month,måned
moral,moralsk
more,mer
morning,morgen
most,mest
motion,bevegelse
mouth,munn
move,flytte
much,mye
music,musikk
nail,spiker
natural,naturlig
near,nære
necessary,nødvendig
necessity,nødvendighet
neck,nakken
need,trenger
needs,behov
net,nett
network,nettverk
never,aldri
new,nye
news,nyheter
newspaper,avis
next,neste
night,natt
nine,ni
north,nord
nose,nese
not,ikke
note,merk
noted,bemerket
nothing,ingenting
notice,varsel
now,nå
number,nummer
obligation,forpliktelse
occasion,anledning
off,avslått
offer,tilby
office,kontor
officer,offiser
official,offisielle
oil,olje
old,gammel
on,på
one,en
only,bare
open,åpent
