English,Finnish
able,pystyä
about,noin
above,yläpuolella
absence,poissaolo
accord,myöntää
account,tili
acquire,hankkia
acquisition,hankinta
across,yli
act,toimia
action,toiminta
activity,aktiivisuus
ad,mainos
add,lisätä
addition,lisäksi
address,osoite
administration,hallinto
advance,ennakko
affected,vaikutti
after,jälkeen
again,jälleen
age,ikä
agency,toimisto
ago,sitten
agreement,sopimus
ahead,eteenpäin
aid,tuki
air,ilma
aircraft,lentokone
alarm,hälytys
all,kaikki
allow,sallia
almost,melkein
along,pitkin
already,jo
also,myös
amount,määrä
angle,kulma
annual,vuotuinen
another,toinen
answer,vastaus
anti,vasta-
any,joku
apple,omena
application,sovellus
approval,hyväksyminen
are,ovat
area,alue
arm,käsivarsi
around,noin
art,taide
as,kuten
aside,sivuun
association,yhdistys
at,luona
attention,huomio
authority,viranomaisen
available,saatavissa
average,keskimäärin
away,pois
baby,vauva
back,takaisin
bad,huono
bag,laukku
balance,tasapaino
ball,pallo
bank,pankki
bar,baari
bargain,tinkiä
barrel,tynnyri
base,pohja
basis,perusta
battle,taistelu
be,olla
bear,karhu
beat,voittaa
become,tulla joksikin
bed,vuode
before,ennen
begin,alkaa
behind,takana
being,olento
belief,uskomus
believe,uskoa
bell,soittokello
below,alla
bend,mutka
best,paras
better,paremmin
between,välissä
beyond,yli
bid,tarjous
big,iso
bill,lasku
bird,lintu
bit,bitti
bite,purra
black,musta
blind,sokea
block,kappale
blood,veri
blow,isku
blue,sininen
board,lauta
boat,vene
body,vartalo
bold,rohkea
bomb,pommi
bond,side
bone,luu
book,kirja
boost,edistää
born,syntynyt
both,molemmat
bottom,pohja
bound,sidottu
bow,jousi
box,laatikko
boy,poika
bread,leipä
break,tauko
breath,hengitys
bridge,silta
bright,kirkas
bring,tuoda
broken,rikki
budget,budjetti
buffer,puskuri
building,rakennus
burn,polttaa
burst,puhjeta
business,yritys
but,mutta
buy,ostaa
by,jonkin mukaan
call,puhelu
can,voida
cap,korkki
capacity,kapasiteetti
capital,pääkaupunki
car,auto
card,kortti
care,hoito
carry,kantaa
case,tapaus
cash,käteinen
cast,heittää
cat,kissa
catch,saalis
cause,aiheuttaa
cell,solu
cent,sentti
central,keski-
certain,varma
chairman,puheenjohtaja
chance,mahdollisuus
change,muutos
character,merkki
charge,veloitus
chart,kaavio
check,tarkistaa
chemical,kemiallinen
chief,päällikkö
child,lapsi
china,Kiina
choice,valinta
church,kirkko
city,kaupunki
class,luokka
clean,puhdas
clear,selkeä
clock,kello
close,lähellä
cloud,pilvi
coat,takki
coffee,kahvi
cold,kylmä
color,väri
come,tulla
command,komento
comment,kommentti
commerce,kaupankäynti
commercial,kaupallinen
commission,komissio
committee,komitea
common,yhteinen
company,yhtiö
complete,valmis
computer,tietokone
concern,huolenaihe
conference,konferenssi
congress,kongressi
consider,harkita
construction,rakenne
continue,jatkaa
contract,sopimus
control,hallinta
cool,viileä
copper,kupari
copy,kopio
corn,maissi
corner,kulma
corporate,järjestäytynyt
corporation,yhtiö
cost,hinta
council,neuvosto
count,laskea
countenance,rohkaisu
counter,tiski
country,maa
coup,vallankaappaus
coupon,kuponki
course,kurssi
court,tuomioistuin
cover,kansi
crack,halkeama
credit,luotto
crisis,kriisi
crop,sato
cross,risti
crown,kruunu
crude,hiomaton
cry,itkeä
currency,valuutta
current,nykyinen
custom,tapa
cut,leikkaus
daily,päivittäin
danger,vaara
dark,tumma
dash,ajatusviiva
data,tieto
date,päivämäärä
day,päivä
dead,kuollut
deal,tapaus
death,kuolema
debt,velka
decided,päättänyt
decision,päätös
decline,kieltäytyä
deep,syvä
default,oletusarvo
defense,puolustus
deficit,alijäämä
degree,aste
delivery,toimitus
demand,kysyntä
department,osasto
deposit,talletus
desire,halu
die,kuolla
difficult,vaikea
direct,suora
director,johtaja
discharge,purkautuminen
discount,alennus
disk,levy
division,jako
do,tehdä
document,asiakirja
dog,koira
dollar,dollari
domestic,kotimainen
don
done,tehty
door,ovi
double,kaksinkertainen
doubt,epäillä
down,alas
drag,vetää
draw,piirtää
dream,unelma
dress,mekko
drink,juoda
drive,ajaa
drop,pudottaa
drug,huume
dry,kuiva
due,takia
dull,tylsä
dust,pöly
duty,velvollisuus
each,kukin
early,varhainen
earth,maa
ease,helppous
east,itä
easy,helppo
eat,syödä
economic,taloudellinen
economy,talous
edge,reuna
effect,vaikutus
eight,kahdeksan
electric,sähköinen
end,loppu
ending,päättyen
energy,energia
enough,tarpeeksi
enter,mennä sisään
equipment,laitteet
error,virhe
escape,paeta
estate,kiinteistö
estimate,arvio
even,jopa
ever,koskaan
every,kaikki
evidence,todistusaineisto
evil,paha
exchange,vaihto
executive,toimeenpaneva
existence,olemassaolo
expand,laajentaa
expansion,laajeneminen
expect,odottaa
expectation,odotus
export,vienti
express,ilmaista
eye,silmä
face,kasvot
facility,laitos
fair,oikeudenmukainen
faith,usko
fall,lasku
FALSE,väärä
family,perhe
fancy,hienostunut
far,kaukana
farm,maatila
fashion,muoti
fast,nopea
fat,rasva
favor,palvelus
fear,pelko
feather,sulka
federal,federaalinen
feel,tuntea
feeling,tunne
fell,putosi
fellow,veikko
fence,aita
few,harvat
field,kenttä
fight,taistella
figure,hahmo
