ENGLISH,NORWEGIAN
able,stand
absence,fravær
accord,Accord
acquire,tilegne
acquisition,oppkjøp
across,tvers
act,handle
activity,aktivitet
ad,ad
add,legg til
addition,tillegg
address,adresse
administration,administrasjon
advance,forhånd
affected,påvirket
age,alder
agency,byrå
ago,siden
ahead,foran
aid,hjelpemiddel
aircraft,fly
allow,tillate
almost,nesten
along,langs
already,allerede
also,også
amount,beløp
angle,vinkel
annual,årlige
another,en annen
answer,svar
anti,anti
any,noen
application,søknad
approval,godkjenning
are,er
area,område
arm,arm
around,rundt
art,kunst
as,som
aside,til side
association,forening
at,ved
attention,oppmerksomhet
authority,myndighet
available,tilgjengelig
average,gjennomsnittlig
baby,babyen
back,tilbake
bad,dårlig
bag,veske
balance,balanse
ball,ball
bank,bank
bar,Bar
bargain,bargain
barrel,fat
base,basen
basis,basis
battle,kamp
be,være
bear,bjørn
beat,slo
become,bli
bed,bed
before,før
begin,begynne
behind,bak
being,blir
believe,tror
bell,bell
below,under
bend,bøye
best,beste
beyond,utover
bid,bud
big,store
bill,regningen
bird,fugl
bit,bit
bite,bite
black,svart
block,blokk
blow,blow
blue,blå
board,bord
boat,båt
body,Kroppen
bold,fet
bomb,bombe
bond,obligasjon
bone,bone
book,bok
boost,boost
born,født
both,begge
bottom,bunn
bound,bundet
bow,bow
box,eske
bread,brød
breath,pust
bridge,bro
bright,lyse
bring,bringe
broken,brutt
budget,budsjett
buffer,buffer
building,bygning
burn,brenne
burst,burst
business,virksomhet
but,men
buy,kjøpe
by,av
call,kaller
can,kan
cap,lue
capacity,kapasitet
capital,kapitalen
car,bil
card,card
care,omsorg
carry,bære
case,tilfelle
cash,kontanter
cast,støpt
cat,cat
catch,fange
cause,forårsake
cell,celle
cent,sent
central,sentral
certain,visse
chairman,formann
chance,sjanse
change,endring
character,karakter
charge,lade
chart,diagram
check,sjekk
chemical,kjemisk
chief,sjef
child,barn
choice,valg
church,kirke
city,by
class,klasse
clear,klare
clock,klokke
close,lukk
coat,frakk
coffee,kaffe
cold,kaldt
color,farge
come,kommer
command,kommandoen
commerce,handel
commercial,kommersielle
commission,kommisjon
committee,komité
common,felles
company,Selskapet
complete,komplett
computer,datamaskin
concern,bekymring
conference,Konferansen
congress,kongress
consider,vurdere
construction,konstruksjon
continue,fortsette
control,kontroll
cool,kult
copper,kobber
corn,mais
corporate,bedriftens
corporation,selskap
cost,kostnaden
council,kommunestyret
countenance,åsyn
counter,counter
country,land
coup,coup
coupon,kupong
course,Selvfølgelig
court,domstol
cover,cover
crack,sprekk
credit,kreditt
crisis,krise
crop,crop
cross,kryss
crown,krone
crude,råolje
cry,gråte
currency,valuta
current,nåværende
custom,tilpassede
cut,kutt
daily,daglig
danger,fare
dark,mørk
dash,dash
data,data
date,dato
day,dag
deal,deal
death,død
debt,gjeld
decided,bestemte
decision,avgjørelse
decline,nedgang
deep,dyp
default,default
defense,forsvar
deficit,underskudd
degree,grad
delivery,levering
demand,etterspørsel
department,avdeling
deposit,innskudd
desire,ønske
die,dø
difficult,vanskelig
direct,direkte
director,direktør
discharge,utflod
discount,rabatt
disk,disk
dog,hund
dollar,dollar
domestic,innenlandske
don,don
done,gjort
door,dør
double,dobbel
doubt,tvil
down,ned
drag,dra
draw,draw
dream,drøm
dress,kjole
drink,drikke
drive,drive
drop,slipp
drug,medikament
dry,tørk
due,grunn
dull,kjedelig
dust,støv
duty,plikt
early,tidlig
ease,letthet
east,øst
eat,spiser
economic,økonomisk
economy,økonomi
edge,edge
effect,effekt
eight,åtte
end,end
ending,slutt
enough,nok
enter,inn
equipment,utstyr
error,feil
escape,flykte
estate,eiendom
estimate,anslå
even,selv
ever,noensinne
every,hvert
evidence,bevis
evil,ondt
exchange,utveksling
executive,executive
existence,eksistens
expand,utvide
expansion,ekspansjon
expect,forventer
expectation,forventning
export,eksport
express,uttrykke
eye,eye
face,ansikt
facility,anlegget
fair,rettferdig
faith,tro
fall,høst
FALSE,FALSE
family,familie
fancy,fancy
far,langt
farm,farm
fashion,mote
fat,fett
favor,favør
fear,frykt
feather,fjær
feel,føler
feeling,følelse
fell,falt
fellow,stipendiat
fence,gjerde
few,få
field,felt
fight,kamp
figure,Figur
filing,filing
fill,fyll
final,endelig
finance,finans
financial,finansiell
find,finne
fine,bot
finger,finger
fire,brann
firm,Firmaet
first,første
fiscal,regnskapsåret
fish,fisk
fit,passer
five,fem
fix,fix
fixed,fast
flash,blitz
flat,flate
flight,fly
flow,flow
fly,fly
follow,følge
following,Følgende
food,mat
foot,foten
force,force
forecast,prognose
foreign,utenlandske
form,skjema
format,format
former,tidligere
forth,tilbake
fortune,formue
forward,forover
four,fire
fourth,fjerde
free,free
fresh,fersk
front,front
full,fullt
fund,fond
further,videre
gain,gain
game,spill
garden,hage
gas,gass
general,generell
get,få
give,gi
given,gitt
glass,glass
gold,gull
golden,golden
gone,borte
good,god
government,regjeringen
grace,nåde
grain,korn
grave,grav
great,stor
gross,brutto
ground,bakken
group,gruppe
growth,vekst
gulf,gulf
gun,pistol
hair,hår
half,en halv
hand,hånd
hang,henge
happy,fornøyd
hard,hardt
hat,hatt
he,han
head,hode
health,helse
heart,hjerte
heat,hete
heaven,himmelen
held,holdt
hell,helvete
help,Hjelp
here,her
hide,gjemme seg
high,høy
hit,hit
hold,holde
holding,holder
hole,hull
home,hjem
honor,ære
hope,håp
horse,hest
hot,hot
hour,time
house,Huset
ice,is
idea,Tanken
ill,syk
imagination,fantasi
impact,innvirkning
import,import
important,viktig
improve,bedre
in,i
include,inkludere
income,inntekt
increase,Økningen
index,index
industrial,industriell
inflation,inflasjon
influence,innflytelse
information,informasjon
initial,innledende
inquiry,forespørsel
instead,stedet
institute,instituttet
insurance,forsikring
interest,interesse
iron,jern
issue,utstede
jack,jack
job,jobb
join,delta
joint,joint
judgment,dom
jump,jump
justice,rettferdighet
keep,holde
key,nøkkel
kick,sparke
knock,knock
know,vet
knowledge,kunnskap
labor,arbeid
labour,arbeid
land,land
last,siste
late,sen
law,loven
lay,fastsette
lead,føre
least,minst
leave,forlate
led,ledet
leg,leg
length,lengde
less,mindre
let,la
letter,brev
level,nivå
lie,løgn
life,liv
lift,lift
light,lys
like,som
likely,sannsynlig
limit,grense
limited,begrenset
line,linje
list,Listen
little,lite
live,lever
living,levende
load,belastning
loan,Lånet
local,lokale
lock,lock
long,lang
loose,løs
lord,lord
lose,taper
loss,tap
lost,tapte
lot,mye
love,kjærlighet
low,lav
lower,lavere
luck,flaks
machine,maskin
made,laget
mail,post
main,main
maintain,vedlikeholde
major,store
majority,Flertallet
make,gjøre
man,mann
management,ledelse
manager,leder
many,mange
march,mars
mark,mark
market,marked
match,matche
matter,sak
may,kan
mean,mener
meaning,mening
measure,måle
medium,medium
meet,møte
meeting,Møtet
member,medlem
memory,minne
men,menn
message,melding
mid,mid
might,kan
military,militær
milk,melk
mind,sinnet
mine,gruve
minimum,minimum
minister,minister
ministry,Departementet
miss,savner
mode,modus
moment,øyeblikk
monetary,monetære
money,penger
month,måned
moral,moralsk
more,mer
morning,morgen
most,mest
motion,bevegelse
mouth,munn
move,flytte
much,mye
music,musikk
nail,spiker
natural,naturlig
near,i nærheten
necessary,nødvendig
necessity,nødvendighet
neck,nakken
need,trenger
needs,behov
net,net
network,nettverk
never,aldri
new,nye
news,nyheter
newspaper,avis
next,neste
night,natt
nine,ni
north,nord
nose,nese
not,ikke
note,merk
noted,bemerket
nothing,ingenting
notice,varsel
now,nå
number,nummer
obligation,forpliktelse
occasion,anledning
off,off
offer,tilby
office,kontor
officer,offiser
official,offisielle
oil,olje
old,gamle
on,på
one,en
only,bare
open,åpent
opening,åpning
operation,drift
opinion,mening
opportunity,mulighet
option,alternativet
order,rekkefølge
other,andre
out,ut
output,utgang
outside,utenfor
outstanding,fremragende
over,enn
overseas,oversjøiske
own,egen
pace,tempo
pacific,pacific
pact,pact
page,siden
pain,smerte
pan,pan
paper,papir
par,par
paradise,paradis
parent,foreldre
parliament,parlamentet
part,del
party,fest
pass,pass
passage,passage
past,fortid
path,Stien
pay,betale
payment,betaling
peace,fred
pen,penn
people,folk
performance,ytelse
period,perioden
personal,personlig
physical,fysisk
pick,pick
picture,bilde
piece,stykke
pin,pin
pipe,pipe
pitch,bek
place,sted
plain,ren
plan,plan
plant,Anlegget
plate,tallerken
play,spille
please,vennligst
plus,pluss
point,punkt
policy,politikk
political,politisk
poor,dårlig
pop,pop
position,posisjon
possession,besittelse
possible,mulig
post,post
pot,pot
potential,potensiell
pour,pour
power,makt
practice,praksis
present,til stede
press,trykk
pressure,press
previous,forrige
price,pris
primary,primære
prime,prime
principal,rektor
print,print
prior,før
private,private
pro,pro
problem,problem
proceeds,provenyet
process,prosessen
product,produktet
production,produksjon
profit,fortjeneste
program,program
progress,fremgang
project,prosjekt
promise,lover
provide,gi
public,offentlige
pull,pull
purchase,kjøp
purpose,formål
push,skyv
put,sette
quantity,kvantitet
question,Spørsmålet
quick,rask
quota,kvote
race,rase
radio,radio
raise,heve
range,rekkevidde
rank,rang
rate,sats
rather,snarere
reach,rekkevidde
read,lest
real,real
rear,bak
reason,Årsaken
record,rekord
red,red
reduce,redusere
reduction,reduksjon
reflect,reflektere
reform,reform
related,relaterte
remain,forbli
render,gjengi
report,rapport
request,forespørsel
research,forskning
reserve,reserve
response,respons
rest,hvile
restraint,tilbakeholdenhet
retail,retail
return,tilbake
revenue,inntekter
review,gjennomgang
ride,ride
right,høyre
ring,ring
rise,stige
risk,risiko
rock,Rock
role,rolle
roll,roll
room,rom
root,rot
rose,rose
rough,grov
round,runde
row,rad
rule,regelen
run,kjøre
rush,rush
safe,safe
said,sa
sail,seil
sale,salg
salt,salt
same,samme
save,spare
say,sier
saying,sier
scale,skala
school,skole
science,vitenskap
score,poengsum
screen,skjerm
seal,forsegling
search,søk
season,årstid
second,andre
secret,hemmelig
secretary,sekretær
section,seksjon
sector,sektor
see,se
seek,søker
select,velg
self,selv
sell,selger
senate,Senatet
send,send
senior,senior
sense,fornuft
series,serien
serve,betjene
service,tjeneste
set,satt
settle,bosette
settlement,oppgjør
seven,syv
several,flere
shade,skyggen
shadow,skygge
shake,shake
shape,form
share,Del
sheet,ark
shift,shift
ship,skip
shoot,skyt
shop,shop
shot,shot
show,show
shut,stengt
sick,syk
side,side
sight,syn
sign,tegn
significant,betydelige
silence,stillhet
similar,lignende
single,singel
sink,vask
sit,sit
situation,situasjon
six,seks
skin,hud
sleep,søvn
slip,slip
slow,langsom
small,liten
smooth,glatt
snap,snap
so,så
social,sosial
soft,soft
sold,solgt
some,noen
someone,noen
song,song
sort,sorter
soul,sjel
sound,lyd
source,kilde
south,sør
space,plass
spare,reservedeler
speak,snakke
special,spesielle
speech,tale
speed,fart
spirit,ånd
split,split
spot,flekk
spread,spre
spring,vår
square,square
staff,ansatte
stage,scenen
stake,stake
stand,stand
standing,stående
start,start
state,stat
statement,statement
station,stasjon
statistics,statistikk
stay,opphold
steam,damp
steel,stål
step,trinnet
sterling,sterling
stick,stick
still,fortsatt
stir,stir
stock,lager
stone,stein
stop,stop
store,butikken
story,historien
straight,rett
strain,belastning
straw,halm
stream,stream
street,gate
strength,styrke
strike,streik
stroke,hjerneslag
strong,sterk
study,Studien
style,stil
subject,emne
subsidiary,Datterselskapet
such,slike
sugar,sukker
suit,dress
sum,sum
sun,sol
supply,supply
support,støtte
surplus,overskudd
sweet,søt
sword,sverd
system,system
table,bord
tail,hale
take,ta
taking,ta
talk,diskusjon
target,target
taste,smak
tea,te
tear,rive
technology,teknologi
telephone,telefon
television,TV
tell,fortell
temper,temperament
tender,anbud
term,term
test,test
text,tekst
then,deretter
there,det
thick,tykk
thin,tynn
thing,ting
think,tror
third,tredje
thought,trodde
three,tre
throat,hals
through,gjennom
ticket,billett
tide,Tide
time,tid
times,ganger
today,i dag
together,sammen
tomorrow,i morgen
tongue,tunge
too,også
top,topp
touch,berøring
track,spor
trade,handel
train,tog
transaction,transaksjon
tread,slitebane
treasury,treasury
tree,tree
TRUE,TRUE
trust,tillit
truth,sannhet
try,prøve
turn,sving
two,to
under,i henhold til
union,union
united,united
up,opp
use,bruk
value,verdi
venture,venture-
very,veldig
vice,vice
view,view
virtue,dyden
voice,stemme
volume,volum
wait,vente
wall,vegg
want,ønsker
war,krig
warm,varm
waste,avfall
watch,se
water,vann
wave,wave
way,vei
weak,svake
wear,slitasje
weather,vær
week,uke
weight,vekt
well,godt
west,vest
western,western
wet,våt
wheat,hvete
wheel,hjul
while,mens
white,hvit
whole,hele
wide,bred
wild,vill
will,vil
wind,vind
wise,klokt
wish,ønsker
within,innenfor
won,vant
wonder,lurer
word,ordet
work,arbeid
working,arbeider
world,verden
worse,verre
worth,verdt
write,skrive
wrong,feil
year,år
yellow,gul
yesterday,i går
yet,ennå
yield,yield
zero,null
zone,sone
